id_recipe,name_recipe,image,type,status,summary,ingredients
1,Grilled Salmon with Quinoa,salmon_quinoa.jpg,dinner,Published,A healthy and delicious dinner with omega-3 rich salmon,"[{""id_ingredient"": 1, ""name_ingredient"": ""Salmon Fillet"", ""quantity"": 200.0, ""unit"": ""g"", ""image"": ""salmon.jpg""}, {""id_ingredient"": 2, ""name_ingredient"": ""Quinoa"", ""quantity"": 100.0, ""unit"": ""g"", ""image"": ""quinoa.jpg""}]"
2,Avocado Toast with Eggs,avocado_toast.jpg,breakfast,Published,Creamy avocado on crispy toast topped with perfectly cooked eggs,"[{""id_ingredient"": 3, ""name_ingredient"": ""Bread"", ""quantity"": 2.0, ""unit"": ""slice"", ""image"": ""bread.jpg""}, {""id_ingredient"": 4, ""name_ingredient"": ""Avocado"", ""quantity"": 1.0, ""unit"": ""piece"", ""image"": ""avocado.jpg""}, {""id_ingredient"": 11, ""name_ingredient"": ""Salmon Fillet"", ""quantity"": 200.0, ""unit"": ""g"", ""image"": ""salmon.jpg""}, {""id_ingredient"": 12, ""name_ingredient"": ""Quinoa"", ""quantity"": 100.0, ""unit"": ""g"", ""image"": ""quinoa.jpg""}]"
3,Chicken Caesar Salad,caesar_salad.jpg,lunch,Published,Classic lunch salad with grilled chicken and homemade dressing,"[{""id_ingredient"": 5, ""name_ingredient"": ""Chicken Breast"", ""quantity"": 150.0, ""unit"": ""g"", ""image"": ""chicken.jpg""}, {""id_ingredient"": 6, ""name_ingredient"": ""Romaine Lettuce"", ""quantity"": 100.0, ""unit"": ""g"", ""image"": ""lettuce.jpg""}, {""id_ingredient"": 13, ""name_ingredient"": ""Bread"", ""quantity"": 2.0, ""unit"": ""slice"", ""image"": ""bread.jpg""}, {""id_ingredient"": 14, ""name_ingredient"": ""Avocado"", ""quantity"": 1.0, ""unit"": ""piece"", ""image"": ""avocado.jpg""}]"
4,Vegetable Stir Fry,stir_fry.jpg,dinner,Published,Quick and nutritious vegetable stir fry with tofu,"[{""id_ingredient"": 7, ""name_ingredient"": ""Tofu"", ""quantity"": 200.0, ""unit"": ""g"", ""image"": ""tofu.jpg""}, {""id_ingredient"": 8, ""name_ingredient"": ""Mixed Vegetables"", ""quantity"": 300.0, ""unit"": ""g"", ""image"": ""mixed_veg.jpg""}, {""id_ingredient"": 15, ""name_ingredient"": ""Chicken Breast"", ""quantity"": 150.0, ""unit"": ""g"", ""image"": ""chicken.jpg""}, {""id_ingredient"": 16, ""name_ingredient"": ""Romaine Lettuce"", ""quantity"": 100.0, ""unit"": ""g"", ""image"": ""lettuce.jpg""}]"
5,Banana Pancakes,banana_pancakes.jpg,breakfast,Published,Fluffy pancakes made with ripe bananas,"[{""id_ingredient"": 9, ""name_ingredient"": ""Banana"", ""quantity"": 2.0, ""unit"": ""piece"", ""image"": ""banana.jpg""}, {""id_ingredient"": 10, ""name_ingredient"": ""Flour"", ""quantity"": 150.0, ""unit"": ""g"", ""image"": ""flour.jpg""}, {""id_ingredient"": 17, ""name_ingredient"": ""Tofu"", ""quantity"": 200.0, ""unit"": ""g"", ""image"": ""tofu.jpg""}, {""id_ingredient"": 18, ""name_ingredient"": ""Mixed Vegetables"", ""quantity"": 300.0, ""unit"": ""g"", ""image"": ""mixed_veg.jpg""}]"
6,Mediterranean Wrap,med_wrap.jpg,lunch,Pending Review,"Hummus, vegetables, and feta cheese in a whole wheat wrap","[{""id_ingredient"": 19, ""name_ingredient"": ""Banana"", ""quantity"": 2.0, ""unit"": ""piece"", ""image"": ""banana.jpg""}, {""id_ingredient"": 20, ""name_ingredient"": ""Flour"", ""quantity"": 150.0, ""unit"": ""g"", ""image"": ""flour.jpg""}]"
7,Beef Stroganoff,beef_stroganoff.jpg,dinner,Published,Classic comfort food with tender beef and creamy sauce,[]
8,Overnight Oats,overnight_oats.jpg,breakfast,Published,No-cook overnight oats with berries and nuts,[]
9,Greek Salad,greek_salad.jpg,lunch,Published,Fresh and light Greek salad with olives and feta,[]
10,Shrimp Scampi,shrimp_scampi.jpg,dinner,Pending Review,Garlic butter shrimp served over linguine,[]
11,Mushroom Risotto,mushroom_risotto.jpg,dinner,Published,Creamy Italian rice dish with wild mushrooms,"[{""id_ingredient"": 21, ""name_ingredient"": ""Arborio Rice"", ""quantity"": 250.0, ""unit"": ""g"", ""image"": ""arborio_rice.jpg""}, {""id_ingredient"": 22, ""name_ingredient"": ""Wild Mushrooms"", ""quantity"": 200.0, ""unit"": ""g"", ""image"": ""mushrooms.jpg""}]"
12,Chia Seed Pudding,chia_pudding.jpg,breakfast,Pending Review,Healthy overnight chia seed pudding with fresh fruits,"[{""id_ingredient"": 23, ""name_ingredient"": ""Chia Seeds"", ""quantity"": 50.0, ""unit"": ""g"", ""image"": ""chia_seeds.jpg""}, {""id_ingredient"": 24, ""name_ingredient"": ""Almond Milk"", ""quantity"": 250.0, ""unit"": ""ml"", ""image"": ""almond_milk.jpg""}]"
13,Caprese Sandwich,caprese_sandwich.jpg,lunch,Published,Classic Italian sandwich with fresh mozzarella and tomatoes,"[{""id_ingredient"": 25, ""name_ingredient"": ""Mozzarella"", ""quantity"": 100.0, ""unit"": ""g"", ""image"": ""mozzarella.jpg""}, {""id_ingredient"": 26, ""name_ingredient"": ""Tomatoes"", ""quantity"": 2.0, ""unit"": ""piece"", ""image"": ""tomatoes.jpg""}]"
14,Korean BBQ Tofu Bowl,bbq_tofu.jpg,dinner,Pending Review,Spicy Korean-style tofu with rice and vegetables,"[{""id_ingredient"": 27, ""name_ingredient"": ""Tofu"", ""quantity"": 250.0, ""unit"": ""g"", ""image"": ""tofu.jpg""}, {""id_ingredient"": 28, ""name_ingredient"": ""Gochujang Sauce"", ""quantity"": 50.0, ""unit"": ""ml"", ""image"": ""gochujang.jpg""}]"
15,Smoothie Bowl,smoothie_bowl.jpg,breakfast,Published,Colorful smoothie bowl topped with granola and seeds,"[{""id_ingredient"": 29, ""name_ingredient"": ""Frozen Berries"", ""quantity"": 150.0, ""unit"": ""g"", ""image"": ""frozen_berries.jpg""}, {""id_ingredient"": 30, ""name_ingredient"": ""Greek Yogurt"", ""quantity"": 100.0, ""unit"": ""g"", ""image"": ""greek_yogurt.jpg""}]"
16,Falafel Wrap,falafel_wrap.jpg,lunch,Published,Crispy falafel with tahini sauce in a soft wrap,"[{""id_ingredient"": 31, ""name_ingredient"": ""Ground Beef"", ""quantity"": 300.0, ""unit"": ""g"", ""image"": ""ground_beef.jpg""}, {""id_ingredient"": 32, ""name_ingredient"": ""Tortillas"", ""quantity"": 4.0, ""unit"": ""piece"", ""image"": ""tortillas.jpg""}]"
17,Beef Tacos,beef_tacos.jpg,dinner,Published,Homemade beef tacos with fresh salsa,"[{""id_ingredient"": 33, ""name_ingredient"": ""Protein Powder"", ""quantity"": 50.0, ""unit"": ""g"", ""image"": ""protein_powder.jpg""}, {""id_ingredient"": 34, ""name_ingredient"": ""Eggs"", ""quantity"": 2.0, ""unit"": ""piece"", ""image"": ""eggs.jpg""}]"
18,Protein Pancakes,protein_pancakes.jpg,breakfast,Pending Review,High-protein pancakes with protein powder,"[{""id_ingredient"": 35, ""name_ingredient"": ""Quinoa"", ""quantity"": 150.0, ""unit"": ""g"", ""image"": ""quinoa.jpg""}, {""id_ingredient"": 36, ""name_ingredient"": ""Roasted Vegetables"", ""quantity"": 200.0, ""unit"": ""g"", ""image"": ""roasted_veg.jpg""}]"
19,Quinoa Buddha Bowl,buddha_bowl.jpg,lunch,Published,"Nutritious bowl with quinoa, roasted vegetables, and dressing","[{""id_ingredient"": 37, ""name_ingredient"": ""Seafood Mix"", ""quantity"": 400.0, ""unit"": ""g"", ""image"": ""seafood_mix.jpg""}, {""id_ingredient"": 38, ""name_ingredient"": ""Saffron"", ""quantity"": 1.0, ""unit"": ""pinch"", ""image"": ""saffron.jpg""}]"
20,Seafood Paella,seafood_paella.jpg,dinner,Published,Traditional Spanish seafood and rice dish,"[{""id_ingredient"": 39, ""name_ingredient"": ""Cauliflower"", ""quantity"": 1.0, ""unit"": ""head"", ""image"": ""cauliflower.jpg""}, {""id_ingredient"": 40, ""name_ingredient"": ""Curry Paste"", ""quantity"": 50.0, ""unit"": ""ml"", ""image"": ""curry_paste.jpg""}]"
21,Thai Green Curry,thai_curry.jpg,dinner,Published,Authentic Thai green curry with vegetables and coconut milk,"[{""id_ingredient"": 41, ""name_ingredient"": ""Coconut Milk"", ""quantity"": 400.0, ""unit"": ""ml"", ""image"": ""coconut_milk.jpg""}, {""id_ingredient"": 42, ""name_ingredient"": ""Green Curry Paste"", ""quantity"": 50.0, ""unit"": ""g"", ""image"": ""green_curry_paste.jpg""}]"
22,Acai Bowl,acai_bowl.jpg,breakfast,Pending Review,Superfood breakfast bowl with fresh fruits and nuts,"[{""id_ingredient"": 43, ""name_ingredient"": ""Acai Powder"", ""quantity"": 50.0, ""unit"": ""g"", ""image"": ""acai_powder.jpg""}, {""id_ingredient"": 44, ""name_ingredient"": ""Mixed Nuts"", ""quantity"": 30.0, ""unit"": ""g"", ""image"": ""mixed_nuts.jpg""}]"
23,Mediterranean Mezze Plate,mezze_plate.jpg,lunch,Published,Variety of Mediterranean small plates and dips,"[{""id_ingredient"": 45, ""name_ingredient"": ""Hummus"", ""quantity"": 150.0, ""unit"": ""g"", ""image"": ""hummus.jpg""}, {""id_ingredient"": 46, ""name_ingredient"": ""Olives"", ""quantity"": 50.0, ""unit"": ""g"", ""image"": ""olives.jpg""}]"
24,Lamb Kebabs,lamb_kebabs.jpg,dinner,Pending Review,Grilled lamb skewers with herbs and spices,"[{""id_ingredient"": 47, ""name_ingredient"": ""Lamb"", ""quantity"": 300.0, ""unit"": ""g"", ""image"": ""lamb.jpg""}, {""id_ingredient"": 48, ""name_ingredient"": ""Herbs"", ""quantity"": 20.0, ""unit"": ""g"", ""image"": ""herbs.jpg""}]"
25,Protein Smoothie,protein_smoothie.jpg,breakfast,Published,High-protein morning smoothie with multiple ingredients,"[{""id_ingredient"": 49, ""name_ingredient"": ""Protein Powder"", ""quantity"": 50.0, ""unit"": ""g"", ""image"": ""protein_powder.jpg""}, {""id_ingredient"": 50, ""name_ingredient"": ""Banana"", ""quantity"": 1.0, ""unit"": ""piece"", ""image"": ""banana.jpg""}]"
26,Vietnamese Banh Mi,banh_mi.jpg,lunch,Published,Traditional Vietnamese sandwich with pickled vegetables,"[{""id_ingredient"": 51, ""name_ingredient"": ""Baguette"", ""quantity"": 1.0, ""unit"": ""piece"", ""image"": ""baguette.jpg""}, {""id_ingredient"": 52, ""name_ingredient"": ""Pickled Vegetables"", ""quantity"": 100.0, ""unit"": ""g"", ""image"": ""pickled_veg.jpg""}]"
